h3_index;weekly_popularity
883910a9cbfffff;1857
883910b037fffff;17996
883910b485fffff;4888
883910b4abfffff;11913
883910b6b5fffff;1905
883910ba69fffff;5389
883910bae1fffff;2145
88391108bdfffff;2374
88391108ddfffff;3370
883911093bfffff;5318
88391140edfffff;2074
883911410dfffff;3344
8839114143fffff;5800
8839114147fffff;16450
883911416bfffff;3912
8839114333fffff;11550
883911444bfffff;17174
8839114631fffff;1489
8839114637fffff;10125
8839114681fffff;2502
8839114685fffff;2196
8839114691fffff;16558
88391146d7fffff;2270
8839114701fffff;5798
883911470bfffff;14697
8839114719fffff;8655
883911471dfffff;3341
8839114727fffff;3088
883911472bfffff;5400
883911472dfffff;4059
883911473dfffff;2673
8839114753fffff;3349
8839114757fffff;11054
8839115035fffff;1521
88391151c3fffff;8223
88391151cdfffff;1453
88391151d5fffff;1990
88391151ddfffff;22716
8839115801fffff;6802
8839115803fffff;14783
8839115807fffff;4792
883911580bfffff;3026
8839115815fffff;2999
883911581dfffff;2657
8839115825fffff;2633
883911582bfffff;7093
883911583bfffff;3930
8839115859fffff;9408
883911586dfffff;4225
88391158d5fffff;3327
88391158e1fffff;14951
88391158e5fffff;86836
88391158e9fffff;4284
88391158ebfffff;5726
88391158edfffff;20589
8839115a05fffff;1590
8839115a0bfffff;5865
8839115a2bfffff;3605
8839115a3bfffff;5665
8839115a47fffff;3171
8839115a69fffff;11277
8839115a6dfffff;2635
8839115a9bfffff;13120
8839115b01fffff;4140
8839115b1bfffff;4223
8839115b1dfffff;8936
8839115b41fffff;3028
8839115b47fffff;7511
8839115b59fffff;2382
8839117203fffff;16479
8839117207fffff;24759
8839117211fffff;5248
8839117219fffff;3554
883911721dfffff;16294
883911722bfffff;16119
883911722dfffff;3558
8839117239fffff;145082
883911723dfffff;10749
88391172edfffff;4597
883911734bfffff;5272
883911734dfffff;3544
883911735bfffff;1589
88391188b1fffff;2070
88391188b9fffff;16855
883911890bfffff;3280
8839118a07fffff;2061
8839118d0bfffff;2515
8839119251fffff;55527
8839119253fffff;8601
8839119255fffff;10069
8839119259fffff;17420
883911925bfffff;16287
883911925dfffff;10960
88391195d1fffff;5472
88391195d3fffff;2884
88391196c3fffff;11693
883911c261fffff;5540
883911c26dfffff;1779
883911c901fffff;3518
8839150a49fffff;12881
88391510c3fffff;3963
88391510d7fffff;5688
88391516edfffff;5069
8839151883fffff;2230
8839152099fffff;6969
88391520d3fffff;2418
8839152189fffff;4430
883915226dfffff;7120
8839152545fffff;1922
883915254dfffff;16137
8839152d2dfffff;2834
8839152d33fffff;4657
8839152d65fffff;8239
8839152eebfffff;6188
8839152f55fffff;4517
88391530c7fffff;2807
88391531c3fffff;4720
88391531ddfffff;2517
883915410bfffff;10496
883915422dfffff;3466
8839154415fffff;11035
883915443bfffff;4416
8839154803fffff;3810
8839154817fffff;11130
883915483bfffff;31251
88391549a5fffff;6356
8839154d13fffff;1185
8839155181fffff;27961
8839155183fffff;7856
883915518bfffff;27665
883915518dfffff;7160
8839155195fffff;3486
88391555c1fffff;3562
88391555cdfffff;1795
8839155709fffff;4147
883915570dfffff;5031
883915571bfffff;3017
88391560cbfffff;7575
88391560ddfffff;1464
88391562b7fffff;5715
88391564a7fffff;6420
8839156999fffff;2869
883915699dfffff;5536
8839156a03fffff;2706
8839156b0bfffff;4517
8839156b11fffff;2705
8839156cebfffff;2178
8839156dcdfffff;8186
8839156ebbfffff;2296
883915765dfffff;6933
8839157683fffff;22634
8839157927fffff;1660
88391582b9fffff;7010
8839158417fffff;4881
8839158763fffff;4289
8839158a65fffff;2748
883915929bfffff;3514
8839159365fffff;2976
8839159427fffff;3950
8839159821fffff;3128
883915982dfffff;7888
8839159931fffff;8508
8839159935fffff;3680
8839159937fffff;35805
883915993bfffff;21504
8839159949fffff;3806
8839159953fffff;2476
8839159957fffff;8049
8839159967fffff;1818
8839159997fffff;3730
88391599b3fffff;2476
88391599b7fffff;2927
88391599e3fffff;3091
88391599e5fffff;7084
8839159a21fffff;4111
8839159a49fffff;2185
883915a265fffff;10833
883915a267fffff;2570
883915a26dfffff;8187
883915a431fffff;2366
883915a581fffff;6250
883915a583fffff;6553
883915a587fffff;67874
883915a58bfffff;3238
883915a59dfffff;4378
883915a5a1fffff;7136
883915a5a3fffff;29048
883915a5a9fffff;2828
883915a5abfffff;11573
883915a5b1fffff;10516
883915a5b9fffff;96554
883915a5bbfffff;3889
883915a5bdfffff;85567
883915a5e7fffff;4626
883915a659fffff;5703
883915b1b3fffff;5610
883915b25bfffff;2793
883915b4b7fffff;2153
883915b581fffff;1740
883915c5c9fffff;3294
883915c617fffff;2486
883915cc93fffff;1988
883915cdd7fffff;3202
883915d05bfffff;5060
883915d233fffff;2203
883915d2a9fffff;30346
883915d2c3fffff;4343
883915d2c7fffff;13207
883915d2c9fffff;6058
883915d2cbfffff;3067
883915d2d5fffff;4131
883915d2e3fffff;6142
883915d2e5fffff;3426
883915d2e7fffff;14264
883915d625fffff;1962
883915d62dfffff;3972
883915d631fffff;5570
883915d6cbfffff;13384
883915d6d9fffff;9637
883915d6ddfffff;10718
8839204041fffff;1793
8839204049fffff;11093
8839204159fffff;3264
8839204207fffff;11310
8839204223fffff;2027
8839204323fffff;3475
883920433bfffff;3896
8839204587fffff;5893
8839204615fffff;3608
8839204617fffff;2529
8839204665fffff;13938
8839204667fffff;3347
8839204725fffff;9148
8839204759fffff;5450
883920475bfffff;3113
8839204843fffff;8821
8839204db9fffff;5541
8839204dbdfffff;4218
8839204dd1fffff;10692
8839204dd3fffff;8538
8839204ddbfffff;3607
8839204f4bfffff;17455
8839204f5dfffff;4172
88392055b1fffff;27702
88392055b3fffff;7951
88392055b7fffff;2560
8839205887fffff;2954
88392058a1fffff;2580
88392058abfffff;17660
8839205935fffff;2967
88392059abfffff;3290
88392059e5fffff;2839
8839206923fffff;3466
8839206c97fffff;4611
8839206f13fffff;8217
88392071d7fffff;1239
8839207229fffff;5737
883920722dfffff;4269
8839207267fffff;6463
8839207341fffff;4283
8839207913fffff;3403
883920791bfffff;734
8839207981fffff;3406
8839207991fffff;3107
88392079cdfffff;1396
88392081d7fffff;2896
8839209731fffff;2428
8839220017fffff;1846
8839220019fffff;3399
8839220031fffff;6532
8839220033fffff;391
8839220037fffff;20392
883922003bfffff;1672
883922003dfffff;9368
8839220059fffff;3933
8839220069fffff;1870
8839220081fffff;7980
8839220085fffff;5973
8839220087fffff;12827
8839220089fffff;27145
88392200a1fffff;47058
88392200a3fffff;14978
88392200a5fffff;6130
88392200a7fffff;14586
88392200a9fffff;2640
88392200abfffff;20101
88392200adfffff;6723
88392200b1fffff;4934
88392200bdfffff;1790
88392200c3fffff;4428
88392200c5fffff;2997
88392200cbfffff;3497
88392200d5fffff;30000
88392200d7fffff;3287
88392200e3fffff;7421
88392200e5fffff;2710
88392200e9fffff;5156
88392200ebfffff;6838
8839220113fffff;2047
8839220115fffff;3480
883922011bfffff;10520
8839220133fffff;18307
8839220139fffff;2064
883922013bfffff;4498
8839220185fffff;12021
8839220187fffff;2340
8839220193fffff;5198
8839220199fffff;3373
88392201a1fffff;6251
88392201a3fffff;67309
88392201a5fffff;11051
88392201a9fffff;2931
88392201abfffff;7747
88392201adfffff;35275
88392201b1fffff;11595
88392201b5fffff;2255
88392201b7fffff;15018
88392201bbfffff;2442
88392201bdfffff;3058
88392201c1fffff;18362
88392201c5fffff;5587
88392201c7fffff;14785
88392201c9fffff;2606
88392201cbfffff;2671
88392201cdfffff;6080
88392201dbfffff;4664
88392201e1fffff;2559
88392201e5fffff;3660
88392201edfffff;5567
8839220203fffff;1420
883922020bfffff;3382
8839220243fffff;4204
8839220249fffff;3492
8839220257fffff;3238
883922025dfffff;2564
8839220263fffff;3168
8839220291fffff;5201
88392202adfffff;2341
8839220415fffff;3603
8839220421fffff;3886
8839220487fffff;3517
8839220493fffff;2818
88392204adfffff;2030
88392204b1fffff;3672
88392204b3fffff;14933
8839220519fffff;2275
8839220521fffff;3912
883922052bfffff;3790
883922052dfffff;5707
883922054bfffff;1764
8839220593fffff;3023
88392205edfffff;2415
8839220605fffff;1933
8839220609fffff;3365
883922060dfffff;11374
883922062bfffff;4835
883922062dfffff;2198
8839220631fffff;1563
8839220633fffff;4076
8839220641fffff;5183
8839220643fffff;1523
8839220649fffff;10438
8839220663fffff;17358
8839220667fffff;5878
8839220669fffff;2982
883922066bfffff;2951
883922068dfffff;2110
883922069bfffff;6983
88392206d3fffff;3530
88392206e1fffff;46367
88392206e5fffff;13895
88392206e9fffff;5273
88392206edfffff;20181
883922071dfffff;2645
883922074bfffff;1111
8839220757fffff;3335
8839220759fffff;8994
883922075bfffff;3297
883922075dfffff;9561
883922088bfffff;5141
8839220893fffff;1976
8839220899fffff;5185
883922089bfffff;3233
88392208b9fffff;1550
88392208bdfffff;4022
